Year,Month,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2016,5,22,01:48:48,5.1,28.48,87.5,10,XIZANG,5183410,1463881728
2016,5,22,01:32:32,4.5,28.48,87.5,10,XIZANG,5183409,1463880752
2016,5,19,23:10:24,4.8,22.76,93.92,42.4,MYANMAR-INDIA BORDER REGION,5183203,1463699424
2016,5,18,16:57:15,4.6,32.07,95.02,38.5,XIZANG,5183105,1463590635
2016,5,15,18:41:26,4.6,36.51,70.8,181.7,"HINDU KUSH REGION, AFGHANISTAN",5182850,1463337686
2016,5,15,13:51:36,4.1,36.42,70.7,177.1,"HINDU KUSH REGION, AFGHANISTAN",5182825,1463320296
2016,5,14,22:45:55,4.3,27.82,85.32,22.5,NEPAL,5182775,1463265955
2016,5,13,23:20:59,4,27.96,85.52,10,NEPAL,5183871,1463181659
2016,5,12,16:02:03,4.1,36.01,69.08,93.1,"HINDU KUSH REGION, AFGHANISTAN",5182598,1463068923
2016,5,12,07:54:19,4.8,24.31,94.4,72,MYANMAR-INDIA BORDER REGION,5182536,1463039659
2016,5,11,09:55:03,4.3,36.48,70.73,213,"HINDU KUSH REGION, AFGHANISTAN",5182440,1462960503
2016,5,11,01:19:42,4.5,27.95,84.93,10.5,NEPAL-INDIA BORDER REGION,5183570,1462929582
2016,5,11,01:15:47,5.5,32.02,95.03,8,XIZANG,5182393,1462929347
2016,5,9,16:03:47,5.2,11.36,91.52,10,"ANDAMAN ISLANDS, INDIA",5182269,1462809827
2016,5,9,16:00:22,4.3,11.27,91.4,10,"ANDAMAN ISLANDS, INDIA",5184265,1462809622
2016,5,9,00:49:34,4,36.52,70.34,218.9,"HINDU KUSH REGION, AFGHANISTAN",5183392,1462754974
2016,5,8,10:13:54,4.7,34.81,86.62,30.7,XIZANG,5182167,1462702434
2016,5,6,03:06:44,4.1,23.42,94.29,26.8,MYANMAR-INDIA BORDER REGION,5183667,1462504004
2016,5,3,16:31:51,4.1,29.64,87.93,25.8,XIZANG,5184153,1462293111
2016,5,1,06:16:12,4.5,36.42,70.75,115.7,"HINDU KUSH REGION, AFGHANISTAN",5181455,1462083372
2016,4,28,17:32:42,4.4,35.85,70.47,91.1,"HINDU KUSH REGION, AFGHANISTAN",5181231,1461864762
2016,4,27,00:26:58,4.2,34.56,81.12,32.8,XIZANG,5181084,1461716818
2016,4,24,21:43:10,4.9,36.96,71.53,113.8,AFGHANISTAN-TAJIKISTAN BORD REG.,5180944,1461534190
2016,4,23,10:40:58,4.6,32.09,94.9,10,XIZANG,5180829,1461408058
2016,4,23,09:32:57,4.8,31.99,95.06,14.8,XIZANG,5180824,1461403977
2016,4,22,02:43:06,4.6,10.05,93.87,44.1,"ANDAMAN ISLANDS, INDIA",5180726,1461292986
2016,4,20,11:02:51,4.5,36.21,71.17,99.6,AFGHANISTAN-TAJIKISTAN BORD REG.,5180491,1461150171
2016,4,20,03:28:26,4.8,36.5,70.13,218.8,"HINDU KUSH REGION, AFGHANISTAN",5180474,1461122906
2016,4,19,20:47:56,4.4,10.26,93.8,35.1,"ANDAMAN ISLANDS, INDIA",5180640,1461098876
2016,4,19,20:32:57,5.3,10.17,93.66,14.4,"ANDAMAN ISLANDS, INDIA",5180455,1461097977
2016,4,19,17:22:18,4.3,28.34,87.84,61,XIZANG,5180443,1461086538
2016,4,18,15:29:55,4.7,12.95,92.33,38.4,"ANDAMAN ISLANDS, INDIA",5180334,1460993395
